sno	Question1	Question2	Question3	Question4	Question5	Question6	Question7	Question8	Question9	Question10	Question11	Question12	Question13	Question14	Question15
Question	What type of profession are you in?( आप किस तरह के पेशे(Job) में हैं?)	Where do you live? (आप कहाँ रहते हैं?)	Have you experienced the symptoms of Dry Eye Disease for a long period? (Select all that apply)( क्या आपको लंबे समय से ड्राई आई डिजीज के लक्षण महसूस हो रहे हैं?)( आप एक से ज्यादा चुन सकते हैं)	How often do you experience the above symptoms? (आपको उपरोक्त लक्षण कितनी बार महसूस होते हैं?)	What medication have you taken ever for the Dry Eye Disease problem? (ड्राई आई डिजीज की समस्या के लिए आपने कभी कौन सी दवा ली है?)	What factors do you think contribute the most to the increase in Dry Eye Disease? (Select all that apply) [आपको क्या लगता है कि ड्राई आई डिजीज में वृद्धि में कौन से कारक सबसे अधिक योगदान देते हैं?] ?)( आप एक से ज्यादा चुन सकते हैं)	What is your age group? (आपकी आयु क्या है?)	Are you aware of the long-term complications that can arise from untreated Dry Eye Disease (DED)? (क्या आप उन दीर्घकालिक समस्या के बारे में जानते हैं जो ड्राई आई डिजीज (डीईडी) से उत्पन्न हो सकती हैं?)	How important do you think an early diagnosis of Dry Eye Disease is in preventing complications like vision loss? (आपको लगता है कि दृष्टि हानि जैसी समस्या को रोकने में ड्राई आई डिजीज का शुरुआत में ही पता चल जाना, कितना महत्वपूर्ण है?)	How important do you think an early diagnosis of Dry Eye Disease is in preventing complications like vision loss? (आपको लगता है कि दृष्टि हानि जैसी समस्या को रोकने में ड्राई आई डिजीज का शुरुआत में ही पता चल जाना, कितना महत्वपूर्ण है?)	How do you prefer to treat DED? (Select all that apply) (आप डीईडी का इलाज कैसे करना पसंद करते हैं?) ( आप एक से ज्यादा चुन सकते हैं)	How comfortable are you with self-administering OTC eye drops for any eye problem? (किसी भी आंख की समस्या के लिए आई ड्रॉप को स्वयं से डालना कितना आसान है?)	For verification purposes, kindly choose option C for this question to confirm your attention.(सत्यापन के उद्देश्य से, कृपया इस प्रश्न के लिए विकल्प C चुनें ताकि आप इस पर अपना ध्यान दे सकें।)	How regularly do you use OTC eye drops? (आप OTC आई ड्रॉप का कितनी नियमितता से उपयोग करते हैं?)	Would you be willing to participate in a trial or provide feedback on a device designed for diagnosing and managing DED? (क्या आप DED के निदान और प्रबंधन के लिए डिज़ाइन किए गए डिवाइस पर परीक्षण में भाग लेने या प्रतिक्रिया देने के लिए तैयार होंगे?)
Options	Desk Job with high screen time (ज्यादा समय तक कंप्यूटर के सामने बैठकर जॉब),Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब),Field job in a dusty environment (धूल भरे माहौल में फील्ड जॉब),Field job in a normal environment (सामान्य माहौल में फील्ड जॉब),Any other (कोई और)	1st Tier City (बड़ा शहर),2nd Tier city (छोटा शहर),3rd Tier city (कस्बा),Villages (गांव)	Dry, irritated eyes (सुखी या आंख में जलन होना),Redness (लाल),Blurred vision (धुंधला दिखना),Sensitivity to light (प्रकाश में जलन होना),A feeling of something in the eye (आँख में कुछ महसूस होना),Never (कभी नहीं)	Daily (प्रतिदिन),Several times a week (सप्ताह में कई बार),A few times a month (महीने में कुछ बार),Rarely (शायद ही कभी),Never (कभी नहीं)	Eye drops (आई ड्रॉप),Eye gels (आई जेल),Tablet (टैबलेट),Surgery सर्जरी),None of the above (इनमें से कोई नहीं)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Air pollution (वायु प्रदूषण),Air-conditioned environments (वातानुकूलित वातावरण),Aging (उम्र बढ़ना),Poor diet (खराब आहार),Contact lens use (चश्मा लगाना),Other (अन्य),I don't know (मुझें नहीं पता)	Under 18,18-25,26-35,36-45,46-55,Over 55	Yes, fully aware (हाँ, पूरी तरह से अवगत),Yes, somewhat aware (हाँ, कुछ हद तक अवगत),No, not aware (नहीं, अवगत नहीं)			Over-the-counter(OTC) eye drops (आई ड्रॉप),Prescription medication (डॉक्टर की सलाह से दवा),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार)),A wearable diagnostic and treatment device (पहनने योग्य डायग्नोस्टिक और उपचार डिवाइस),Other (अन्य)		Yes ,No,Never ,Maybe 	Daily (प्रतिदिन),Several times a week (सप्ताह में कई बार),A few times a month (महीने में कुछ बार),Rarely (शायद ही कभी),Never (कभी नहीं)	Yes (हाँ),No (नहीं),Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
1	Field job in a normal environment (सामान्य माहौल में फील्ड जॉब)	1st Tier City (बड़ा शहर)	Sensitivity to light (प्रकाश में जलन होना)	Rarely (शायद ही कभी)	Eye drops (आई ड्रॉप)	Air pollution (वायु प्रदूषण),Poor diet (खराब आहार),Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना )	Under 18	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/41cb660c-783c-426b-8f87-096cbe3fab71-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/58cc1e43-31af-4ed4-949f-cb4dba255499-AUDIO.m4a	Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार)),Over-the-counter(OTC) eye drops (आई ड्रॉप)	7	Never 	Rarely (शायद ही कभी)	Yes (हाँ)
2	Desk Job with high screen time (ज्यादा समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Dry, irritated eyes (सुखी या आंख में जलन होना),Redness (लाल),Blurred vision (धुंधला दिखना),A feeling of something in the eye (आँख में कुछ महसूस होना)	A few times a month (महीने में कुछ बार)	Tablet (टैबलेट),Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Air pollution (वायु प्रदूषण),Poor diet (खराब आहार)	18-25	No, not aware (नहीं, अवगत नहीं)	https://api.sae.today/iota/clouds/audio/4ac0418a-5218-42b0-bc7d-0b3cb5b5e715-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/99c77046-a985-4e45-844a-3b1f330b5744-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार)),A wearable diagnostic and treatment device (पहनने योग्य डायग्नोस्टिक और उपचार डिवाइस)	4	Never 	Rarely (शायद ही कभी)	Yes (हाँ)
3	Any other (कोई और)	1st Tier City (बड़ा शहर)	A feeling of something in the eye (आँख में कुछ महसूस होना)	Rarely (शायद ही कभी)	Eye drops (आई ड्रॉप),Eye gels (आई जेल)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Air pollution (वायु प्रदूषण),Air-conditioned environments (वातानुकूलित वातावरण),Aging (उम्र बढ़ना),Poor diet (खराब आहार)	Under 18	No, not aware (नहीं, अवगत नहीं)	https://api.sae.today/iota/clouds/audio/b4685dd3-fc1c-4b55-a397-a4238653dad4-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/34d9ef02-2d86-4825-991e-2c6fc3b343c6-AUDIO.m4a	Over-the-counter(OTC) eye drops (आई ड्रॉप),Prescription medication (डॉक्टर की सलाह से दवा),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	8	Never 	A few times a month (महीने में कुछ बार)	Yes (हाँ)
4	Any other (कोई और)	2nd Tier city (छोटा शहर)	Dry, irritated eyes (सुखी या आंख में जलन होना)	Several times a week (सप्ताह में कई बार)	None of the above (इनमें से कोई नहीं)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Air pollution (वायु प्रदूषण),Air-conditioned environments (वातानुकूलित वातावरण),Aging (उम्र बढ़ना)	18-25	No, not aware (नहीं, अवगत नहीं)	https://api.sae.today/iota/clouds/audio/87ef369c-9bbf-4278-902d-4bd376de0d25-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/2eb1c9e2-ad81-4f15-9a70-c600ca0a97cc-AUDIO.m4a	Over-the-counter(OTC) eye drops (आई ड्रॉप),Prescription medication (डॉक्टर की सलाह से दवा),A wearable diagnostic and treatment device (पहनने योग्य डायग्नोस्टिक और उपचार डिवाइस)	10	Never 	Daily (प्रतिदिन)	Yes (हाँ)
5	Desk Job with high screen time (ज्यादा समय तक कंप्यूटर के सामने बैठकर जॉब)	1st Tier City (बड़ा शहर)	A feeling of something in the eye (आँख में कुछ महसूस होना)	Several times a week (सप्ताह में कई बार)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Air pollution (वायु प्रदूषण),Air-conditioned environments (वातानुकूलित वातावरण)	18-25	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/97f78f4f-b229-4ec7-ae9d-630a41d2c27a-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/2cbdf7ff-c10a-43ef-9e92-45625143b67c-AUDIO.m4a	Over-the-counter(OTC) eye drops (आई ड्रॉप),Prescription medication (डॉक्टर की सलाह से दवा),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	2	Never 	Rarely (शायद ही कभी)	Yes (हाँ)
6	Desk Job with high screen time (ज्यादा समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Redness (लाल)	Daily (प्रतिदिन)	Eye drops (आई ड्रॉप)	Poor diet (खराब आहार)	18-25	Yes, fully aware (हाँ, पूरी तरह से अवगत)	https://api.sae.today/iota/clouds/audio/61c4213e-c3d1-40a1-94bd-c94621cea9bb-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/703185cd-bc7b-4a3f-adef-decd34a57b71-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा)	5	Never 	Daily (प्रतिदिन)	Yes (हाँ)
7	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब),Desk Job with high screen time (ज्यादा समय तक कंप्यूटर के सामने बैठकर जॉब)	Villages (गांव)	Redness (लाल)	Several times a week (सप्ताह में कई बार)	Eye drops (आई ड्रॉप)	Air pollution (वायु प्रदूषण),Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना )	18-25	Yes, fully aware (हाँ, पूरी तरह से अवगत)	https://api.sae.today/iota/clouds/audio/9ce0a6ab-66d2-433e-9b3d-cc47e22ecb2b-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/92df6ebe-90a2-4b62-9e74-ccf54f785ca6-AUDIO.m4a	Over-the-counter(OTC) eye drops (आई ड्रॉप),Other (अन्य)	8	Never 	Rarely (शायद ही कभी)	Yes (हाँ)
8	Any other (कोई और)	1st Tier City (बड़ा शहर)	Redness (लाल),Sensitivity to light (प्रकाश में जलन होना),A feeling of something in the eye (आँख में कुछ महसूस होना)	A few times a month (महीने में कुछ बार)	Eye drops (आई ड्रॉप)	Air pollution (वायु प्रदूषण),Other (अन्य)	18-25	Yes, fully aware (हाँ, पूरी तरह से अवगत)	https://api.sae.today/iota/clouds/audio/2a793425-150a-41e2-b583-1765592bcc7e-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/f2826171-5c92-43c1-89e6-3e00f0d5cc86-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार)),Other (अन्य)	10	Never 	Rarely (शायद ही कभी)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
